Absolute Finale
Aegis Charge
Air Burst
Air Spinner
Airborne Slam
Aqua Arc
Aqua Beam
Aqua Breaker
Aqua Vortex
Arc Sphere
Arcane Intervention
Ball Lightning
Binary Splashdown
Bladed Vine
Blazing Blitz
Blazing Lariat
Blazing Onslaught
Blazing Vault
Blurring Falconry
Bolt Claymore
Bolt Rail
Bouncing Blaze
Bouncing Bubble
Bouncing Surge
Breaking Twister
Bubble Barrage
Cardice Prime
Cascading Blitz
Chaos Crusher
Chaotic Buster
Chaotic Rift
Circuit Line
Crashing Meteor
Creeping Tendrils
Cyclone Boomerang
Deferred Dynamo
Distortion Beam
Dragon Arc
Dragon Blast
Dragon Dive
Dragon Surge
Earth Knuckles
Earth Stomp Agent
Earthen Aegis
Earthquake Axe
Embracing Vines
Engulfing Fissure
Evading Zephyr
Exploding Fireball
Explosive Charge
Fadeaway Rhythm
Fire Wall
Flame Breath
Flame Cleaver
Flame Cross
Flame Fusion
Flame Strike
Flare Rush
Frost Fan
Frost Feint
Frost Wing
Frozen Bait
Fuelled Berserk
Furious Tempest
Gale-force Alignment
Glacial Cross
Grasping Earth
Gust Burst
Gust Volley
Hammer of Atlas
Heroic Blaze
Heroic Leap
Homing Flares
Ice Dagger
Ice Seekers
Ice Spear
Ignition Drive
Ignition Rush
Ion Spike
Knockout Boulder
Laced Lightning
Lightning Aspect
Line Shock Agent
Mach Stunner
Magnetic Breakers
Magnetic Follow-up
Magsphere
Mentis Imperium
Mortal Coil
Null Parade
Obsidian Cascade
Perfect Storm
Perforating Jet
Phantom Brigade
Piercing Void
Raging Inferno
Rapid Fire Agent
Razor Burst
Rebounding Icicles
Rip Tide
Rippling Rupture
Rock n' Roll
Rock-solid Tomahawk
Rushing Typhoon
Scales of Babylon
Searing Crown
Searing Rush
Seismic Entry
Shattering Strike
Shearing Chain
Shock Assault
Shock Line
Shock Nova
Shock Wire
Snare Track
Snowflake Chakrams
Spark Array
Spark Contact
Spike Track
Spiraling Typhoon
Stalwart Defenders
Star Bolt
Stone Shot
Storm Draft
Surge Anchor
Tearing Whirlwind
Tectonic Drill
Terra Ring
Thunder Drop
Thunder Line
Thundering Chain
Tidal Blast
Toxic Bolas
Toxic Trap
Tracer Barrage
Volt Disc
Volt Pinball
Voltaic Needle
Ward of Flames
Ward of Frost
Ward of Lightning
Ward of Stones
Ward of Winds
Water Prison
Water Pulse Agent
Wave Front
Whirling Tornado
Whirling Wind Agent
Wind Flurry
Wind Slash
Aberrant Deck
Abhorrent Cologne
Absorption Coil
Adorable Mimic
Agni's Sparkler
Albert's Formula
Alchemist's Stone
Amulet of Sundering
Analytical Monocle
Ancestral Gauntlets
Anchor of Burden
Ancient Fountain Pen
Anemic Marker
Antiquated Tabi
Arcana Rewards Card
Armor of Greed
Armor of Resolve
Assassin's Blade
Auditor's Talisman
Auger of Poetry
Autograph Pad
Battery of Taranis
Berserker's Axe
Berserker's Helm
Bladed Buckler
Blades of Sympathy
Blasting Sprite Aura
Boots of Celerity
Boots of Frenzy
Bracers of the Beast
Brilliant Balloon
Broken Plague Flask
C-99 Piggy Bank
Cabi's Bubble Gum
Cabi's Cinnamon Hots
Cabi's Citrus Sweets
Cabi's Cotton Candy
Cabi's Raw Chocolate
Calcifying Bonemail
Calvin's Sandy Shoes
Captain's Ring
Cartographer's Quill
Cassim's Airy Cloak
Catalystic Tonic
Catalystic Vial
Catastrophic Codex
Chaos Scanner
Chaos Visor
Chaotic Comedy
Chaotic Pendulum
Charming Teddy Bear
Cobalt Firestone
Combo Gloves
Conga Drum Set
Conqueror's Belt
Conqueror's Cloak
Conqueror's Helmet
Covert Ops Mask
Crimson Clover
Critical Placebos
Cruel Chess Clock
